variable,term,estimate,std.error,statistic,p.value,significance
Nitrogen dioxide levels (billion molecules/mm2),gqDistType0-40:postGQ,1.01,1.85,0.54,0.59,
Nitrogen dioxide levels (billion molecules/mm2),gqDistType40-100:postGQ,1.49,1.83,0.82,0.41,
Nitrogen dioxide levels (billion molecules/mm2),nsewDistTypenodal:postNSEW,-1.77,6.79,-0.26,0.79,
Nitrogen dioxide levels (billion molecules/mm2),nsewDistType0-40:postNSEW,-1.54,2.43,-0.63,0.53,
Nitrogen dioxide levels (billion molecules/mm2),nsewDistType40-100:postNSEW,2.87,1.94,1.48,0.14,
Light intensity per area,postGQ,3.16,1.02,3.1,0.0,***
Light intensity per area,gqDistTypenodal:postGQ,-2.44,2.05,-1.19,0.23,
Light intensity per area,gqDistType0-40:postGQ,3.33,0.66,5.05,0.0,***
Light intensity per area,gqDistType40-100:postGQ,0.91,0.65,1.4,0.16,
Light intensity per area,nsewDistTypenodal:postNSEW,21.48,2.42,8.88,0.0,***
Light intensity per area,nsewDistType0-40:postNSEW,1.96,0.86,2.27,0.02,**
Light intensity per area,nsewDistType40-100:postNSEW,0.96,0.69,1.39,0.17,
Light intensity per 1000 people,postGQ,16.88,1.52,11.13,0.0,***
Light intensity per 1000 people,gqDistTypenodal:postGQ,-1.84,3.06,-0.6,0.55,
Light intensity per 1000 people,gqDistType0-40:postGQ,-1.51,0.98,-1.53,0.13,
Light intensity per 1000 people,gqDistType40-100:postGQ,-0.08,0.97,-0.08,0.93,
Light intensity per 1000 people,nsewDistTypenodal:postNSEW,-0.16,3.6,-0.05,0.96,
Light intensity per 1000 people,nsewDistType0-40:postNSEW,-0.6,1.29,-0.47,0.64,
Light intensity per 1000 people,nsewDistType40-100:postNSEW,0.68,1.03,0.66,0.51,
Population density (people per sq. km.),postGQ,-5.96,24.41,-0.24,0.81,
Population density (people per sq. km.),gqDistTypenodal:postGQ,-94.15,49.19,-1.91,0.06,
Population density (people per sq. km.),gqDistType0-40:postGQ,58.1,15.81,3.67,0.0,***
Population density (people per sq. km.),gqDistType40-100:postGQ,21.44,15.61,1.37,0.17,
Population density (people per sq. km.),nsewDistTypenodal:postNSEW,507.81,58.0,8.76,0.0,***
Population density (people per sq. km.),nsewDistType0-40:postNSEW,14.55,20.74,0.7,0.48,
Population density (people per sq. km.),nsewDistType40-100:postNSEW,-8.35,16.55,-0.5,0.61,
Share of urban population,postGQ,0.06,0.01,4.46,0.0,***
Share of urban population,gqDistTypenodal:postGQ,0.02,0.03,0.66,0.51,
Share of urban population,gqDistType0-40:postGQ,0.02,0.01,2.74,0.01,**
Share of urban population,gqDistType40-100:postGQ,0.01,0.01,1.22,0.22,
Share of urban population,nsewDistTypenodal:postNSEW,0.03,0.03,1.05,0.29,
Share of urban population,nsewDistType0-40:postNSEW,0.01,0.01,1.06,0.29,
Share of urban population,nsewDistType40-100:postNSEW,0.01,0.01,0.73,0.47,
